AnnReturn,AnnRisk,SharpeRatio,SortinoRatio,ReturnTraditional,ReturnSP500,RiskTraditional,RiskSP500,SharpeTraditional,SharpeSP500,SortinoTraditional,SortinoSP500,Date,TraditionalOnly,SP500Only,d1,d2,d3,d4,d5,d6
,,,,,,,,,,,,1.49515E+12,105.1609745,107.2380138,105.1609745,106.1243293,107.0876841,107.9748617,108.6592291,109.3151601
,,,,,,,,,,,,1.49524E+12,105.1609745,107.2380138,105.1609745,106.1243293,107.0876841,107.9748617,108.6592291,109.3151601
,,,,,,,,,,,,1.49532E+12,105.1609745,107.2380138,105.1609745,106.2012088,107.241443,108.1001879,108.8439002,109.5692486
,,,,,,,,,,,,1.49541E+12,105.4924351,107.7935615,105.4924351,106.6724905,107.8525459,108.6547409,109.5028823,110.3537871
,,,,,,,,,,,,1.4955E+12,105.5466826,107.9940916,105.5466826,106.7946374,108.0425922,108.8144707,109.7127817,110.6248723
,,,,,,,,,,,,1.49558E+12,105.7526398,108.2668406,105.7526398,107.228642,108.7046442,109.3920927,110.4653666,111.5829455
,,,,,,,,,,,,1.49567E+12,106.0828593,108.7627902,106.0828593,107.5850572,109.0547328,109.7625102,110.8533928,111.9677296
,,,,,,,,,,,,1.49576E+12,106.1167945,108.8109361,106.1167945,107.4117483,108.9124654,109.4584596,110.3891406,111.5497009
,,,,,,,,,,,,1.49584E+12,106.1167945,108.8109361,106.1167945,107.4117483,108.9124654,109.4584596,110.3891406,111.5497009
,,,,,,,,,,,,1.49593E+12,106.1167945,108.8109361,106.1167945,107.25425,108.7786397,109.2017113,110.0108159,111.2062778
,,,,,,,,,,,,1.49602E+12,106.1167945,108.8109361,106.1167945,107.4515694,108.9463012,109.5233744,110.4847941,111.63653
,,,,,,,,,,,,1.4961E+12,106.1268992,108.696648,106.1268992,107.4032902,108.9130309,109.4434396,110.3616845,111.5280342
,,,,,,,,,,,,1.49619E+12,106.1487701,108.6634601,106.1487701,107.4634653,108.9705073,109.5302453,110.4788914,111.6377374
,,,,,,,,,,,,1.49628E+12,106.614006,109.4994695,106.614006,108.0510751,109.5296702,110.1859141,111.2232508,112.3568956
,,,,,,,,,,,,1.49636E+12,106.9738107,109.9073074,106.9738107,108.4281036,109.9079634,110.5764032,111.626209,112.7604651
,,,,,,,,,,,,1.49645E+12,106.9738107,109.9073074,106.9738107,108.4281036,109.9079634,110.5764032,111.626209,112.7604651
,,,,,,,,,,,,1.49653E+12,106.9738107,109.9073074,106.9738107,108.5054873,109.973716,110.7025513,111.8120913,112.9291991
,,,,,,,,,,,,1.49662E+12,106.858489,109.7773602,106.858489,108.5584801,110.000138,110.8607437,112.1004624,113.178843
,,,,,,,,,,,,1.49671E+12,106.7484261,109.4725919,106.7484261,108.6695614,110.0855708,111.1176323,112.531053,113.5612948
,,,,,,,,,,,,1.49679E+12,106.8097852,109.667279,106.8097852,108.590057,110.0218,110.9447671,112.2474043,113.3080725
,,,,,,,,,,,,1.49688E+12,106.796716,109.6995321,106.796716,108.5877786,110.0154669,110.947299,112.2575787,113.315114
,,,,,,,,,,,,1.49697E+12,106.7317983,109.6088495,106.7317983,108.6130735,110.0273402,111.0296609,112.4099873,113.4469435
,,,,,,,,,,,,1.49705E+12,106.7317983,109.6088495,106.7317983,108.6130735,110.0273402,111.0296609,112.4099873,113.4469435
,,,,,,,,,,,,1.49714E+12,106.7317983,109.6088495,106.7317983,108.7058562,110.1061772,111.1809119,112.6328592,113.6492548
,,,,,,,,,,,,1.49723E+12,106.6447357,109.5095193,106.6447357,108.279822,109.7301907,110.5406649,112.0466108,112.8216106
,,,,,,,,,,,,1.49731E+12,106.9711102,110.0316454,106.9711102,108.708516,110.1395879,111.0300746,112.5192855,113.3663992
,,,,,,,,,,,,1.4974E+12,107.0654227,109.9299781,107.0654227,108.6472712,110.1128943,110.8798837,112.4018215,113.1372977
,,,,,,,,,,,,1.49748E+12,106.8772808,109.7039727,106.8772808,108.2606037,109.7546718,110.3672623,111.9193421,112.5138917
,,,,,,,,,,,,1.49757E+12,106.9164846,109.7359921,106.9164846,108.4290237,109.904695,110.617894,112.1498437,112.8363687
,,,,,,,,,,,,1.49766E+12,106.9164846,109.7359921,106.9164846,108.4290237,109.904695,110.617894,112.1498437,112.8363687
,,,,,,,,,,,,1.49774E+12,106.9164846,109.7359921,106.9164846,108.4152634,109.8930029,110.5954623,112.1296509,112.8063644
,,,,,,,,,,,,1.49783E+12,107.4231336,110.6533354,107.4231336,109.0194815,110.4712705,111.2510237,112.7660544,113.5112308
,,,,,,,,,,,,1.49792E+12,107.0652094,109.9133841,107.0652094,108.8543121,110.2895783,111.2181856,112.706881,113.5901049
,,,,,,,,,,,,1.498E+12,107.0309879,109.8591615,107.0309879,108.7257178,110.1755539,111.0304944,112.5345384,113.3505614
,,,,,,,,,,,,1.49809E+12,107.0080888,109.8100807,107.0080888,108.7163346,110.1650205,111.0303935,112.5326114,113.3583071
,,,,,,,,,,,,1.49818E+12,107.134663,109.981396,107.134663,108.8789789,110.3222425,111.2155638,112.7127978,113.5638267
,,,,,,,,,,,,1.49826E+12,107.134663,109.981396,107.134663,108.8789789,110.3222425,111.2155638,112.7127978,113.5638267
,,,,,,,,,,,,1.49835E+12,107.134663,109.981396,107.134663,108.6319647,110.1123554,110.8128899,112.3503145,113.0252155
,,,,,,,,,,,,1.49844E+12,107.1890257,110.0173886,107.1890257,108.5544877,110.0565251,110.6537579,112.2141212,112.7947802
,,,,,,,,,,,,1.49852E+12,106.5478552,109.1292601,106.5478552,108.037901,109.5222067,110.2175311,111.7537401,112.4251467
,,,,,,,,,,,,1.49861E+12,107.1135652,110.1122781,107.1135652,108.7367626,110.1904641,110.9906378,112.5027326,113.2677663
,,,,,,,,,,,,1.49869E+12,106.4700085,109.1687584,106.4700085,108.065551,109.5269439,110.3059547,111.8201857,112.5673254
,,,,,,,,,,,,1.49878E+12,106.5145029,109.3417098,106.5145029,108.0497347,109.5147008,110.2475222,111.7685554,112.4727691
,,,,,,,,,,,,1.49887E+12,106.5145029,109.3417098,106.5145029,108.0497347,109.5147008,110.2475222,111.7685554,112.4727691
,,,,,,,,,,,,1.49895E+12,106.5145029,109.3417098,106.5145029,108.0446402,109.510372,110.2392174,111.7610794,112.4616607
,,,,,,,,,,,,1.49904E+12,106.5932633,109.6046426,106.5932633,108.1839008,109.6329232,110.410182,111.9181442,112.6619191
,,,,,,,,,,,,1.49913E+12,106.5932633,109.6046426,106.5932633,108.2025666,109.6487834,110.4406103,111.9455354,112.7026196
,,,,,,,,,,,,1.49921E+12,106.7370518,109.7853066,106.7370518,108.3819115,109.8234628,110.6426915,112.1432478,112.92522
,,,,,,,,,,,,1.4993E+12,106.0788642,108.7962119,106.0788642,107.7195289,109.166501,109.9826821,111.4822147,112.2630162
,,,,,,,,,,,,1.49939E+12,106.4558644,109.4940939,106.4558644,108.0025659,109.454519,110.1983452,111.7102731,112.4232817
,,,,,,,,,,,,1.49947E+12,106.4558644,109.4940939,106.4558644,108.0025659,109.454519,110.1983452,111.7102731,112.4232817
,,,,,,,,,,,,1.49956E+12,106.4558644,109.4940939,106.4558644,108.0163263,109.4662111,110.2207769,111.7304658,112.453286
,,,,,,,,,,,,1.49964E+12,106.5784718,109.5962287,106.5784718,107.9872522,109.463043,110.0984899,111.6355959,112.2497686
,,,,,,,,,,,,1.49973E+12,106.5476707,109.5118565,106.5476707,107.898892,109.3854137,109.9756262,111.5231398,112.0962846
,,,,,,,,,,,,1.49982E+12,107.1265383,110.3214558,107.1265383,108.5254193,110.0035018,110.6302025,112.173239,112.7786515
,,,,,,,,,,,,1.4999E+12,107.2159314,110.5311009,107.2159314,108.5661513,110.0472286,110.6365565,112.185523,112.7561339
