open,close,low,high,period
8145.9200000000000000,8055.9800000000000000,7870.0000000000000000,8455.0000000000000000,2020-01-07 16:00:00
8054.7200000000000000,7817.7600000000000000,7750.0000000000000000,8055.9600000000000000,2020-01-08 16:00:00
7817.7400000000000000,8197.0200000000000000,7672.0000000000000000,8199.0000000000000000,2020-01-09 16:00:00
8198.8600000000000000,8020.0100000000000000,8003.1600000000000000,8286.3400000000000000,2020-01-10 16:00:00
8020.0100000000000000,8184.9800000000000000,7960.0000000000000000,8197.0000000000000000,2020-01-11 16:00:00
8184.9700000000000000,8110.3400000000000000,8055.8900000000000000,8196.0000000000000000,2020-01-12 16:00:00
8110.3400000000000000,8810.0100000000000000,8105.5400000000000000,8880.0000000000000000,2020-01-13 16:00:00
8814.6400000000000000,8821.4100000000000000,8564.0000000000000000,8916.4800000000000000,2020-01-14 16:00:00
8820.0100000000000000,8720.0100000000000000,8586.0000000000000000,8859.8100000000000000,2020-01-15 16:00:00
8720.1500000000000000,8913.2800000000000000,8672.4400000000000000,9041.6500000000000000,2020-01-16 16:00:00
8913.2700000000000000,8915.9600000000000000,8806.3800000000000000,8988.8800000000000000,2020-01-17 16:00:00
8915.0900000000000000,8701.7000000000000000,8466.0000000000000000,9198.9800000000000000,2020-01-18 16:00:00
8701.7200000000000000,8642.3500000000000000,8521.2800000000000000,8746.9900000000000000,2020-01-19 16:00:00
8642.3500000000000000,8736.0300000000000000,8488.0000000000000000,8789.0000000000000000,2020-01-20 16:00:00
8736.0400000000000000,8682.3600000000000000,8590.0000000000000000,8818.0000000000000000,2020-01-21 16:00:00
8682.7700000000000000,8404.5200000000000000,8306.3900000000000000,8691.8100000000000000,2020-01-22 16:00:00
8404.5200000000000000,8439.0000000000000000,8238.0000000000000000,8528.0200000000000000,2020-01-23 16:00:00
8438.9900000000000000,8340.5800000000000000,8254.9000000000000000,8451.2600000000000000,2020-01-24 16:00:00
8340.0100000000000000,8615.0000000000000000,8293.6600000000000000,8618.1300000000000000,2020-01-25 16:00:00
8614.3900000000000000,8907.5700000000000000,8535.0000000000000000,9000.0000000000000000,2020-01-26 16:00:00
8907.5700000000000000,9374.2100000000000000,8862.4000000000000000,9400.0000000000000000,2020-01-27 16:00:00
9375.3400000000000000,9301.5300000000000000,9216.0000000000000000,9449.2400000000000000,2020-01-28 16:00:00
9301.5700000000000000,9513.2100000000000000,9204.4400000000000000,9578.0000000000000000,2020-01-29 16:00:00
